year,age,male,female
2023,18,62.9,68.8
2023,19,62,67.8
2023,20,61,66.8
2023,21,60,65.8
2023,22,59,64.8
2023,23,58.1,63.8
2023,24,57.1,62.9
2023,25,56.1,61.9
2023,26,55.1,60.9
2023,27,54.2,59.9
2023,28,53.2,58.9
2023,29,52.2,58
2023,30,51.3,57
2023,31,50.3,56
2023,32,49.3,55
2023,33,48.4,54
2023,34,47.4,53.1
2023,35,46.4,52.1
2023,36,45.5,51.1
2023,37,44.5,50.1
2023,38,43.6,49.2
2023,39,42.6,48.2
2023,40,41.6,47.2
2023,41,40.7,46.3
2023,42,39.7,45.3
2023,43,38.8,44.3
2023,44,37.9,43.4
2023,45,36.9,42.4
2023,46,36,41.5
2023,47,35,40.5
2023,48,34.1,39.5
2023,49,33.2,38.6
2023,50,32.3,37.6
2023,51,31.4,36.7
2023,52,30.4,35.7
2023,53,29.5,34.8
2023,54,28.7,33.8
2023,55,27.8,32.9
2023,56,26.9,32
2023,57,26,31
2023,58,25.1,30.1
2023,59,24.3,29.1
2023,60,23.4,28.2
2023,61,22.6,27.3
2023,62,21.7,26.3
2023,63,20.9,25.4
2023,64,20,24.5
2023,65,19.2,23.6
2023,66,18.4,22.6
2023,67,17.6,21.7
2023,68,16.8,20.8
2023,69,16,19.9
2023,70,15.2,19
2023,71,14.5,18.1
2023,72,13.7,17.3
2023,73,13,16.4
2023,74,12.3,15.5
2023,75,11.6,14.7
2023,76,10.9,13.9
2023,77,10.2,13
2023,78,9.5,12.3
2023,79,8.9,11.5
2023,80,8.3,10.7
2023,81,7.7,10
2023,82,7.1,9.3
2023,83,6.6,8.7
2023,84,6.2,8.1
2023,85,5.7,7.5
2023,86,5.3,6.9
2023,87,4.9,6.4
2023,88,4.5,5.9
2023,89,4.2,5.5
2023,90,3.9,5
2023,91,3.6,4.7
2023,92,3.3,4.3
2023,93,3.1,4
2023,94,2.8,3.7
2023,95,2.6,3.4
2023,96,2.4,3.1
2023,97,2.3,2.9
2023,98,2.1,2.7
2023,99,2,2.5
2023,100,1.8,2.3
2024,0,80.8,86.6
2024,1,80,85.8
2024,2,79,84.8
2024,3,78.1,83.8
2024,4,77.1,82.8
2024,5,76.1,81.8
2024,6,75.1,80.8
2024,7,74.1,79.8
2024,8,73.1,78.8
2024,9,72.1,77.8
2024,10,71.1,76.8
2024,11,70.1,75.8
2024,12,69.1,74.8
2024,13,68.1,73.9
2024,14,67.1,72.9
2024,15,66.1,71.9
2024,16,65.1,70.9
2024,17,64.2,69.9
2024,18,63.2,68.9
2024,19,62.2,67.9
2024,20,61.2,66.9
2024,21,60.2,66
2024,22,59.3,65
2024,23,58.3,64
2024,24,57.3,63
2024,25,56.3,62
2024,26,55.4,61.1
2024,27,54.4,60.1
2024,28,53.4,59.1
2024,29,52.5,58.1
2024,30,51.5,57.1
2024,31,50.5,56.2
2024,32,49.6,55.2
2024,33,48.6,54.2
2024,34,47.6,53.2
2024,35,46.7,52.3
2024,36,45.7,51.3
2024,37,44.7,50.3
2024,38,43.8,49.3
2024,39,42.8,48.4
2024,40,41.9,47.4
2024,41,40.9,46.4
2024,42,40,45.5
2024,43,39,44.5
2024,44,38.1,43.6
2024,45,37.2,42.6
2024,46,36.2,41.6
2024,47,35.3,40.7
2024,48,34.4,39.7
2024,49,33.5,38.8
2024,50,32.5,37.8
2024,51,31.6,36.9
2024,52,30.7,35.9
2024,53,29.8,35
2024,54,28.9,34
2024,55,28.1,33.1
2024,56,27.2,32.1
2024,57,26.3,31.2
2024,58,25.4,30.3
2024,59,24.6,29.3
2024,60,23.7,28.4
2024,61,22.9,27.5
2024,62,22,26.5
2024,63,21.2,25.6
2024,64,20.4,24.7
2024,65,19.5,23.7
2024,66,18.7,22.8
2024,67,17.9,21.9
2024,68,17.1,21
2024,69,16.3,20.1
2024,70,15.5,19.2
2024,71,14.8,18.3
2024,72,14,17.4
2024,73,13.3,16.6
2024,74,12.6,15.7
2024,75,11.8,14.9
2024,76,11.1,14
2024,77,10.5,13.2
2024,78,9.8,12.4
2024,79,9.1,11.6
2024,80,8.5,10.9
2024,81,7.9,10.2
2024,82,7.4,9.5
2024,83,6.9,8.8
2024,84,6.4,8.2
2024,85,5.9,7.6
2024,86,5.5,7
2024,87,5.1,6.5
2024,88,4.7,6
2024,89,4.3,5.5
2024,90,4,5.1
2024,91,3.7,4.7
2024,92,3.4,4.3
2024,93,3.2,4
2024,94,2.9,3.7
2024,95,2.7,3.4
2024,96,2.5,3.1
2024,97,2.3,2.9
2024,98,2.2,2.7
2024,99,2,2.5
2024,100,1.9,2.3
